TRINITY_DN137_c0_g1_i1 sp|Q03567|SL172_CAEEL
TRINITY_DN58289_c0_g1_i1 sp|Q8C8H8|KY_MOUSE
TRINITY_DN58297_c0_g1_i1 sp|Q8BGN3|ENPP6_MOUSE
TRINITY_DN58297_c0_g2_i2 sp|Q5BKW7|ENPP6_DANRE
TRINITY_DN58273_c1_g4_i3 sp|Q9WVK8|CP46A_MOUSE
TRINITY_DN58273_c1_g3_i2 sp|Q9WVK8|CP46A_MOUSE
TRINITY_DN58273_c1_g2_i6 sp|Q9Y6A2|CP46A_HUMAN
TRINITY_DN58282_c0_g1_i3 sp|O43301|HS12A_HUMAN
TRINITY_DN58357_c1_g2_i1 sp|P24447|AN_HHV6U
TRINITY_DN58344_c0_g1_i1 sp|Q8LGU7|RNZ1_ARATH
TRINITY_DN58346_c0_g1_i1 sp|Q55E31|RB32B_DICDI
TRINITY_DN58302_c0_g2_i1 sp|Q54MC6|LRLA_DICDI
TRINITY_DN58307_c0_g1_i1 sp|Q6DDL7|UN93A_XENLA
TRINITY_DN58306_c0_g1_i2 sp|Q90744|NAGAB_CHICK
TRINITY_DN58312_c0_g1_i3 sp|P20825|POL2_DROME
TRINITY_DN58311_c0_g1_i1 sp|P54131|ACHA7_BOVIN
TRINITY_DN58318_c0_g1_i1 sp|P51635|AK1A1_RAT
TRINITY_DN58320_c0_g1_i1 sp|Q9UQP3|TENN_HUMAN
TRINITY_DN58349_c0_g1_i4 sp|Q9UBG0|MRC2_HUMAN
TRINITY_DN58323_c0_g1_i1 sp|Q9VCA2|ORCT_DROME
TRINITY_DN58326_c0_g1_i2 sp|G5ED00|ZIG8_CAEEL
TRINITY_DN58327_c0_g1_i1 sp|Q9DCR2|AP3S1_MOUSE
TRINITY_DN58329_c0_g1_i2 sp|O70277|TRIM3_RAT
TRINITY_DN58328_c0_g1_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN58330_c0_g1_i1 sp|Q8SWR3|SPR_DROME
TRINITY_DN58325_c0_g1_i1 sp|Q64731|FOXL1_MOUSE
TRINITY_DN58350_c0_g1_i1 sp|A8X775|DLK1_CAEBR
TRINITY_DN58331_c1_g1_i4 sp|Q5XXR3|ARHG6_RAT
TRINITY_DN58332_c0_g1_i1 sp|Q9DGB6|TLR22_CHICK
TRINITY_DN58332_c0_g2_i1 sp|O88279|SLIT1_RAT
TRINITY_DN58334_c0_g1_i1 sp|Q0V8S9|CNTP5_CHICK
TRINITY_DN58321_c0_g2_i1 sp|Q80X72|LRC15_MOUSE
TRINITY_DN58363_c0_g2_i1 sp|Q15582|BGH3_HUMAN
TRINITY_DN58345_c0_g1_i2 sp|Q9ESN4|C1QL3_MOUSE
TRINITY_DN58345_c0_g2_i2 sp|Q4ZJM9|C1QL4_MOUSE
TRINITY_DN58301_c1_g1_i10 sp|O73823|TAL1_XENLA
TRINITY_DN58367_c0_g1_i2 sp|Q3ZBG9|PLS2_BOVIN
TRINITY_DN58366_c0_g1_i1 sp|P62870|ELOB_RAT
TRINITY_DN58374_c0_g1_i1 sp|A4IHM6|RABL3_XENTR
TRINITY_DN58372_c1_g2_i1 sp|Q8T6Z0|OBL_OBEGE
TRINITY_DN58379_c0_g1_i4 sp|Q9JHG0|CBLN3_MOUSE
TRINITY_DN58385_c0_g2_i1 sp|Q99315|YG31B_YEAST
TRINITY_DN58388_c0_g1_i3 sp|Q95SX7|RTBS_DROME
TRINITY_DN58384_c0_g1_i1 sp|Q3ZBG9|PLS2_BOVIN
TRINITY_DN58386_c0_g1_i2 sp|Q96P65|QRFPR_HUMAN
TRINITY_DN58398_c0_g1_i1 sp|P82198|BGH3_MOUSE
TRINITY_DN58400_c0_g1_i1 sp|P35054|TGBR3_PIG
TRINITY_DN58444_c1_g2_i11 sp|Q8I7C3|LASP1_DROME
TRINITY_DN58450_c0_g1_i4 sp|Q9NRA2|S17A5_HUMAN
TRINITY_DN58405_c0_g1_i1 sp|Q9NR63|CP26B_HUMAN
TRINITY_DN58408_c0_g1_i6 sp|P86854|PLCL_MYTGA
TRINITY_DN58491_c0_g1_i2 sp|Q1LXZ9|SKR1B_DANRE
TRINITY_DN58418_c0_g1_i1 sp|Q7ZTY6|CG026_DANRE
TRINITY_DN58445_c1_g1_i3 sp|Q06805|TIE1_BOVIN
TRINITY_DN58421_c0_g1_i2 sp|Q68RJ7|ACH92_ONCMY
TRINITY_DN58430_c0_g1_i1 sp|Q9Y6R7|FCGBP_HUMAN
TRINITY_DN58441_c0_g1_i2 sp|Q6ZWJ8|KCP_HUMAN
TRINITY_DN58439_c0_g1_i1 sp|D3YXG0|HMCN1_MOUSE
TRINITY_DN58463_c0_g1_i2 sp|O95295|SNAPN_HUMAN
TRINITY_DN58446_c1_g1_i1 sp|Q8NCU4|CC191_HUMAN
TRINITY_DN58455_c0_g1_i1 sp|Q8IZ57|NRSN1_HUMAN
TRINITY_DN58457_c0_g1_i1 sp|P97503|NKX32_MOUSE
TRINITY_DN58459_c0_g1_i1 sp|Q9I8C7|ACH10_CHICK
TRINITY_DN58469_c0_g1_i1 sp|P43143|ACHA6_RAT
TRINITY_DN58470_c0_g1_i1 sp|P49454|CENPF_HUMAN
TRINITY_DN58467_c0_g1_i2 sp|O96382|DFP11_HYPCU
TRINITY_DN58472_c0_g1_i1 sp|O50655|XERD_SELRU
TRINITY_DN58486_c0_g1_i2 sp|P58304|VSX2_HUMAN
TRINITY_DN58489_c0_g1_i1 sp|Q3ZCU0|YK006_HUMAN
TRINITY_DN58484_c0_g1_i1 sp|Q8T4F7|ENA_DROME
TRINITY_DN58493_c0_g1_i3 sp|Q61092|LAMC2_MOUSE
TRINITY_DN58496_c0_g1_i3 sp|Q575S8|CYGB2_DANRE
TRINITY_DN58502_c0_g1_i1 sp|O09053|WRN_MOUSE
TRINITY_DN58503_c0_g1_i2 sp|Q9Y5X5|NPFF2_HUMAN
TRINITY_DN58540_c0_g1_i1 sp|O15075|DCLK1_HUMAN
TRINITY_DN58510_c0_g1_i2 sp|P12804|FGL2_MOUSE
TRINITY_DN58507_c0_g2_i1 sp|Q658N2|WSCD1_HUMAN
TRINITY_DN58507_c0_g1_i3 sp|Q7KVA1|XYLT_DROME
TRINITY_DN58507_c0_g3_i1 sp|Q80XH4|WSCD1_MOUSE
TRINITY_DN58507_c0_g4_i1 sp|D4AUF1|WSCD1_ARTBC
TRINITY_DN58549_c0_g1_i1 sp|Q5RG45|CP135_DANRE
TRINITY_DN58513_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN58515_c0_g1_i1 sp|Q9N294|B3GT5_PANPA
TRINITY_DN58531_c3_g1_i1 sp|Q95SX7|RTBS_DROME
TRINITY_DN58511_c0_g2_i2 sp|Q555N7|ZDHC4_DICDI
TRINITY_DN58557_c1_g1_i2 sp|Q8N0W5|IQCK_HUMAN
TRINITY_DN58523_c0_g1_i1 sp|P61295|HAND2_RAT
TRINITY_DN58525_c0_g1_i1 sp|Q05187|TGMH_TACTR
TRINITY_DN58524_c0_g1_i1 sp|P49144|5HT1B_RABIT
TRINITY_DN58530_c0_g1_i2 sp|P86854|PLCL_MYTGA
TRINITY_DN58530_c0_g2_i1 sp|P20693|FCER2_MOUSE
TRINITY_DN58583_c0_g1_i5 sp|P08793|XDH_CALVI
TRINITY_DN58532_c0_g1_i2 sp|P02594|CALM_ELEEL
TRINITY_DN58539_c0_g1_i1 sp|Q0VCJ7|RERG_BOVIN
TRINITY_DN58544_c0_g1_i1 sp|O93603|TRFR_CHICK
TRINITY_DN58538_c0_g1_i1 sp|Q6VEU3|PNO1_DANRE
TRINITY_DN58545_c0_g1_i2 sp|O42819|SEC4_CANGA
TRINITY_DN58554_c0_g1_i1 sp|Q67W65|TAF1_ORYSJ
TRINITY_DN58556_c0_g1_i2 sp|Q0VCX2|BIP_BOVIN
TRINITY_DN58559_c0_g1_i1 sp|Q61H86|DOPR3_CAEBR
TRINITY_DN58551_c0_g1_i3 sp|Q24307|DIAP2_DROME
TRINITY_DN58564_c0_g2_i4 sp|Q98931|LRP8_CHICK
TRINITY_DN58543_c11_g2_i2 sp|O01404|PHM_DROME
TRINITY_DN58568_c0_g1_i1 sp|A4IIC5|S39A3_XENTR
TRINITY_DN58572_c0_g2_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN58572_c0_g3_i2 sp|Q9NBX4|RTXE_DROME
TRINITY_DN58579_c1_g1_i1 sp|Q2UY09|COSA1_HUMAN
TRINITY_DN58578_c0_g1_i1 sp|P00766|CTRA_BOVIN
TRINITY_DN58584_c0_g1_i2 sp|O35544|EAA4_MOUSE
TRINITY_DN58586_c0_g1_i1 sp|Q9TST4|ADRB3_FELCA
TRINITY_DN58592_c1_g1_i3 sp|Q5UQ13|COLL2_MIMIV
TRINITY_DN58591_c0_g1_i2 sp|Q9W790|TCPA_PALPA
TRINITY_DN58595_c0_g1_i7 sp|Q2KJG4|MGST2_BOVIN
TRINITY_DN58644_c0_g1_i2 sp|Q9Y5R5|DMRT2_HUMAN
TRINITY_DN58601_c0_g1_i3 sp|Q9NRA2|S17A5_HUMAN
TRINITY_DN58608_c0_g1_i2 sp|C7G0B5|PIF_PINFU
TRINITY_DN58606_c0_g1_i3 sp|Q6PB06|HYKK_XENLA
TRINITY_DN58645_c0_g1_i6 sp|Q29042|FCN1_PIG
TRINITY_DN58615_c0_g1_i1 sp|Q8VHW4|CCG5_MOUSE
TRINITY_DN58613_c0_g1_i2 sp|Q9VAI1|CIA30_DROME
TRINITY_DN58611_c0_g1_i1 sp|P52729|HME2A_XENLA
TRINITY_DN58618_c0_g1_i2 sp|Q6NT55|CP4FN_HUMAN
TRINITY_DN58650_c0_g1_i1 sp|P32239|GASR_HUMAN
TRINITY_DN58626_c0_g1_i1 sp|O60100|IMB4_SCHPO
TRINITY_DN58626_c0_g2_i1 sp|Q8VI75|IPO4_MOUSE
TRINITY_DN58628_c0_g1_i1 sp|Q9W6B4|TIMP3_SCYTO
TRINITY_DN58631_c0_g1_i3 sp|Q8BJI4|PO6F2_MOUSE
TRINITY_DN58698_c2_g3_i2 sp|P21328|RTJK_DROME
TRINITY_DN58637_c0_g1_i2 sp|O75762|TRPA1_HUMAN
TRINITY_DN58629_c0_g1_i1 sp|Q13263|TIF1B_HUMAN
TRINITY_DN58652_c0_g1_i1 sp|A3KNL6|GGACC_DANRE
TRINITY_DN58642_c0_g2_i2 sp|Q8C3Q9|CASP9_MOUSE
TRINITY_DN58679_c1_g1_i10 sp|B8I6E7|IF2_CLOCE
TRINITY_DN58646_c0_g1_i2 sp|Q9N2W7|NDUAC_CAEEL
TRINITY_DN58700_c0_g1_i5 sp|Q8WZ42|TITIN_HUMAN
TRINITY_DN58654_c0_g1_i2 sp|Q9TTY1|TIMP2_CANLF
TRINITY_DN58657_c1_g1_i2 sp|A7X3Z7|LECM2_ERYPO
TRINITY_DN58668_c0_g1_i2 sp|Q5R7P7|TAF9B_PONAB
TRINITY_DN58667_c0_g1_i4 sp|Q63447|NPY4R_RAT
TRINITY_DN58671_c0_g1_i1 sp|Q0VFC7|UQCC2_XENTR
TRINITY_DN58680_c0_g1_i2 sp|Q16534|HLF_HUMAN
TRINITY_DN58678_c0_g1_i8 sp|Q6VMQ6|MCAF1_HUMAN
TRINITY_DN58686_c0_g1_i2 sp|Q9CL21|RECQ_PASMU
TRINITY_DN58677_c0_g1_i1 sp|Q8BMN3|ACHB3_MOUSE
TRINITY_DN58691_c0_g1_i1 sp|Q28970|MYO7A_PIG
TRINITY_DN58689_c0_g1_i2 sp|A8Y5T1|CA194_DANRE
TRINITY_DN58688_c1_g2_i1 sp|P53463|ACTM_HELER
TRINITY_DN58795_c0_g3_i1 sp|Q5RJ80|CAPR2_DANRE
TRINITY_DN58701_c0_g1_i1 sp|Q8CDA1|SAC2_MOUSE
TRINITY_DN58710_c0_g1_i1 sp|B2JLI8|RHMD_PARP8
TRINITY_DN58749_c0_g1_i2 sp|H2A0M3|AMO_PINMG
TRINITY_DN58751_c0_g1_i1 sp|Q64442|DHSO_MOUSE
TRINITY_DN58750_c0_g1_i1 sp|P57096|PSCA_MOUSE
TRINITY_DN58724_c0_g1_i1 sp|Q5BKT4|AG10A_HUMAN
TRINITY_DN58725_c0_g1_i1 sp|Q28BQ6|TMED1_XENTR
TRINITY_DN58722_c0_g2_i1 sp|Q6DF34|APCD1_XENTR
TRINITY_DN58729_c0_g1_i3 sp|P86854|PLCL_MYTGA
TRINITY_DN58723_c0_g1_i2 sp|Q86Z23|C1QL4_HUMAN
TRINITY_DN58731_c0_g1_i2 sp|Q8BUJ9|LRP12_MOUSE
TRINITY_DN58727_c0_g1_i2 sp|Q0P4Y1|HISAT_XENTR
TRINITY_DN58717_c2_g1_i2 sp|P16157|ANK1_HUMAN
TRINITY_DN58735_c3_g1_i1 sp|B9A8D7|SPI2_CRAVI
TRINITY_DN58737_c0_g1_i1 sp|P22105|TENX_HUMAN
TRINITY_DN58737_c1_g1_i1 sp|Q14162|SREC_HUMAN
TRINITY_DN58737_c2_g2_i2 sp|Q9I926|FUCL6_ANGJA
TRINITY_DN58737_c2_g3_i2 sp|Q9I926|FUCL6_ANGJA
TRINITY_DN58736_c4_g2_i2 sp|O42182|FBLN1_DANRE
TRINITY_DN58745_c1_g1_i4 sp|P77735|YAJO_ECOLI
TRINITY_DN58758_c0_g1_i6 sp|Q24155|TRUNK_DROME
TRINITY_DN58763_c0_g1_i1 sp|Q9BYU1|PBX4_HUMAN
TRINITY_DN58753_c2_g2_i1 sp|Q8BTM8|FLNA_MOUSE
TRINITY_DN58753_c2_g3_i2 sp|Q14315|FLNC_HUMAN
TRINITY_DN58761_c0_g1_i1 sp|P86854|PLCL_MYTGA
TRINITY_DN58766_c0_g1_i2 sp|Q54CS6|DCD1B_DICDI
TRINITY_DN58767_c0_g1_i1 sp|P82198|BGH3_MOUSE
TRINITY_DN58769_c0_g1_i3 sp|Q9ZPY2|LAC6_ARATH
TRINITY_DN58755_c2_g1_i3 sp|Q7Z442|PK1L2_HUMAN
TRINITY_DN58777_c0_g1_i1 sp|P04759|ACHD_BOVIN
TRINITY_DN58762_c5_g2_i3 sp|P97607|JAG2_RAT
TRINITY_DN58773_c0_g1_i5 sp|Q58EX2|SDK2_HUMAN
TRINITY_DN58783_c0_g1_i2 sp|P32240|PE2R4_MOUSE
TRINITY_DN58785_c0_g1_i2 sp|P78333|GPC5_HUMAN
TRINITY_DN58786_c0_g1_i5 sp|A3KPP4|S2535_DANRE
TRINITY_DN58787_c0_g1_i1 sp|P16537|SPC3_STRPU
TRINITY_DN58775_c4_g1_i2 sp|Q8VI56|LRP4_MOUSE
TRINITY_DN58765_c4_g1_i2 sp|Q8N6D5|ANR29_HUMAN
TRINITY_DN58790_c0_g1_i2 sp|A0A1L8ER70|HYLS1_XENLA
TRINITY_DN58791_c1_g1_i1 sp|P10394|POL4_DROME
TRINITY_DN58798_c0_g1_i3 sp|O88992|C1QRF_MOUSE
TRINITY_DN58798_c0_g2_i1 sp|O75973|C1QRF_HUMAN
TRINITY_DN58837_c0_g1_i3 sp|Q55C09|SGMA_DICDI
TRINITY_DN58846_c0_g1_i1 sp|Q9XSM3|TRPV5_RABIT
TRINITY_DN58853_c0_g1_i1 sp|P20483|MPIP_DROME
TRINITY_DN58807_c0_g1_i2 sp|P86854|PLCL_MYTGA
TRINITY_DN58895_c0_g1_i1 sp|Q95NT6|MTH2_DROYA
TRINITY_DN58803_c0_g1_i1 sp|P41593|PTH1R_MOUSE
TRINITY_DN58812_c0_g1_i1 sp|Q9VCA2|ORCT_DROME
TRINITY_DN58892_c0_g1_i2 sp|Q5F478|ANR44_CHICK
TRINITY_DN58815_c0_g1_i2 sp|Q8HXX6|SAP3_MACFA
TRINITY_DN58818_c0_g1_i2 sp|Q2TGI8|ZDH22_RAT
TRINITY_DN58843_c0_g1_i2 sp|Q8TB03|CX038_HUMAN
TRINITY_DN58814_c0_g1_i5 sp|Q8NBI5|S43A3_HUMAN
TRINITY_DN58822_c0_g1_i1 sp|Q08DL1|ZCH12_BOVIN
TRINITY_DN58821_c0_g1_i1 sp|Q92847|GHSR_HUMAN
TRINITY_DN58820_c0_g1_i1 sp|O75503|CLN5_HUMAN
TRINITY_DN58806_c5_g1_i2 sp|Q3V2K1|CX065_MOUSE
TRINITY_DN58806_c6_g4_i4 sp|P34586|TRPL_CAEEL
TRINITY_DN58823_c0_g1_i1 sp|Q8BMB3|IF4E2_MOUSE
TRINITY_DN58834_c0_g1_i4 sp|Q9ES30|C1QT3_MOUSE
TRINITY_DN58840_c0_g1_i1 sp|Q9CXF0|KYNU_MOUSE
TRINITY_DN58842_c0_g1_i1 sp|Q9U637|PITX_BRABE
TRINITY_DN58852_c0_g2_i1 sp|P09172|DOPO_HUMAN
TRINITY_DN58858_c0_g1_i2 sp|Q92615|LAR4B_HUMAN
TRINITY_DN58854_c0_g1_i4 sp|Q92010|ZBT14_CHICK
TRINITY_DN58863_c0_g1_i1 sp|Q24423|NOC_DROME
TRINITY_DN58861_c1_g1_i1 sp|P14730|WFD18_RAT
TRINITY_DN58865_c0_g1_i1 sp|Q9NY25|CLC5A_HUMAN
TRINITY_DN58864_c0_g1_i2 sp|Q7SYH5|SC5A8_XENLA
TRINITY_DN58868_c0_g1_i1 sp|Q9ES88|S13A2_MOUSE
TRINITY_DN58862_c0_g1_i9 sp|P0C5E4|PTPRQ_MOUSE
TRINITY_DN58867_c0_g1_i2 sp|Q6GMG8|LITAF_DANRE
TRINITY_DN58869_c0_g1_i1 sp|Q8NB25|F184A_HUMAN
TRINITY_DN58838_c2_g2_i3 sp|P14381|YTX2_XENLA
TRINITY_DN58870_c0_g1_i1 sp|Q27433|MEC2_CAEEL
TRINITY_DN58870_c0_g2_i2 sp|Q7PPU9|BND7A_ANOGA
TRINITY_DN58875_c0_g1_i3 sp|O77049|JTB_BRUMA
TRINITY_DN58884_c0_g1_i1 sp|Q25188|OAR_HELVI
TRINITY_DN58886_c0_g1_i1 sp|Q16515|ASIC2_HUMAN
TRINITY_DN58885_c0_g1_i2 sp|Q96RW7|HMCN1_HUMAN
TRINITY_DN58883_c0_g1_i2 sp|O44252|ROST_DROME
TRINITY_DN58889_c0_g1_i3 sp|Q15067|ACOX1_HUMAN
TRINITY_DN58894_c0_g1_i1 sp|Q9UT67|IMT2_SCHPO
TRINITY_DN58890_c0_g1_i2 sp|Q8T3C8|MTFP1_CAEEL
TRINITY_DN58844_c1_g6_i1 sp|Q8NDX6|ZN740_HUMAN
TRINITY_DN58844_c1_g4_i4 sp|Q9H2S9|IKZF4_HUMAN
TRINITY_DN58997_c0_g1_i29 sp|Q4LDE5|SVEP1_HUMAN
TRINITY_DN58943_c0_g1_i1 sp|Q68FF9|S5A1_MOUSE
TRINITY_DN58903_c0_g1_i1 sp|P15848|ARSB_HUMAN
TRINITY_DN58908_c0_g1_i1 sp|Q3T0E5|APMAP_BOVIN
TRINITY_DN58946_c0_g1_i1 sp|P21452|NK2R_HUMAN
TRINITY_DN58907_c0_g1_i1 sp|Q05AX3|PSMG1_XENLA
TRINITY_DN58904_c0_g1_i2 sp|Q9HCF6|TRPM3_HUMAN
TRINITY_DN58904_c3_g2_i2 sp|Q91YD4|TRPM2_MOUSE
TRINITY_DN58906_c1_g2_i3 sp|O93384|RSAD2_ONCMY
TRINITY_DN58948_c0_g1_i4 sp|Q568H3|MD2L2_DANRE
TRINITY_DN58902_c2_g1_i1 sp|Q5EBP3|ARMC5_MOUSE
TRINITY_DN58902_c2_g2_i3 sp|Q5EBP3|ARMC5_MOUSE
TRINITY_DN58915_c0_g1_i4 sp|Q9HFY6|CALM_BLAEM
TRINITY_DN58914_c0_g1_i1 sp|Q54MC6|LRLA_DICDI
TRINITY_DN58918_c0_g1_i1 sp|P30974|TLR1_DROME
TRINITY_DN58901_c0_g2_i4 sp|P15941|MUC1_HUMAN
TRINITY_DN58921_c0_g1_i1 sp|Q2TGI5|ZDH24_RAT
TRINITY_DN58922_c1_g1_i1 sp|P35441|TSP1_MOUSE
TRINITY_DN58928_c0_g1_i2 sp|Q7T3T2|CALM_EPIAK
TRINITY_DN58930_c0_g1_i1 sp|Q9UI42|CBPA4_HUMAN
TRINITY_DN58936_c0_g1_i2 sp|O17287|TOM22_CAEEL
TRINITY_DN58994_c0_g1_i2 sp|Q6F332|CALM2_ORYSJ
TRINITY_DN58937_c0_g1_i3 sp|A0A1B0GTD5|TEX49_HUMAN
TRINITY_DN58942_c0_g1_i1 sp|Q8N8E2|ZN513_HUMAN
TRINITY_DN58926_c1_g1_i3 sp|Q9HBA9|FOH1B_HUMAN
TRINITY_DN58926_c1_g2_i2 sp|Q7Y228|LAMP1_ARATH
TRINITY_DN58926_c1_g3_i1 sp|O77564|FOLH1_PIG
TRINITY_DN58927_c8_g1_i8 sp|Q9NPP4|NLRC4_HUMAN
TRINITY_DN58989_c0_g1_i5 sp|Q8VE22|RT23_MOUSE
TRINITY_DN58962_c0_g1_i2 sp|P82596|PLC_HALLA
TRINITY_DN58959_c3_g3_i2 sp|Q80SX5|OTOP2_MOUSE
TRINITY_DN58967_c0_g1_i1 sp|O00748|EST2_HUMAN
TRINITY_DN58970_c0_g1_i3 sp|Q82IZ1|PTLH_STRAW
TRINITY_DN58969_c0_g2_i3 sp|Q7T384|SC5AC_DANRE
TRINITY_DN58973_c0_g1_i3 sp|Q8T5G8|CHS_MELAT
TRINITY_DN58973_c0_g2_i1 sp|G5EBQ8|CHS2_CAEEL
TRINITY_DN58976_c0_g1_i2 sp|Q29550|EST1_PIG
TRINITY_DN58978_c0_g1_i1 sp|Q9UGQ2|FLOWR_HUMAN
TRINITY_DN58983_c0_g1_i1 sp|O45782|ARD17_CAEEL
TRINITY_DN58980_c0_g1_i4 sp|Q5BK09|DRAM2_RAT
TRINITY_DN58984_c0_g1_i5 sp|O95563|MPC2_HUMAN
TRINITY_DN58972_c6_g1_i1 sp|Q8WWZ8|OIT3_HUMAN
TRINITY_DN58987_c0_g1_i1 sp|Q9WWU5|ATSK_PSEPU
TRINITY_DN58991_c0_g1_i1 sp|Q9CQF8|RT63_MOUSE
TRINITY_DN58981_c0_g1_i5 sp|Q9UGM3|DMBT1_HUMAN
TRINITY_DN58977_c2_g1_i3 sp|P80457|XDH_BOVIN
TRINITY_DN58996_c1_g1_i2 sp|O43301|HS12A_HUMAN
TRINITY_DN59074_c1_g1_i7 sp|Q04791|SASB_ANAPL
TRINITY_DN59001_c0_g1_i1 sp|P35832|PTP99_DROME
TRINITY_DN59003_c0_g1_i1 sp|Q642M9|DHDH_DANRE
TRINITY_DN59007_c0_g1_i3 sp|P10079|FBP1_STRPU
TRINITY_DN59073_c1_g2_i4 sp|D3ZVM4|LIN41_RAT
TRINITY_DN59010_c0_g1_i1 sp|P13055|E75BB_DROME
TRINITY_DN59005_c0_g1_i2 sp|P79345|NPC2_BOVIN
TRINITY_DN59013_c0_g1_i3 sp|Q5F4B8|S46A3_CHICK
TRINITY_DN59015_c0_g1_i1 sp|P18488|EMS_DROME
TRINITY_DN59022_c0_g1_i1 sp|P05099|MATN1_CHICK
TRINITY_DN59025_c0_g3_i2 sp|Q5PQ44|CD022_XENLA
TRINITY_DN59026_c0_g1_i1 sp|O01393|UNC9_CAEEL
TRINITY_DN59028_c0_g1_i8 sp|Q5R5D9|LGMN_PONAB
TRINITY_DN59027_c0_g1_i5 sp|P17342|ANPRC_HUMAN
TRINITY_DN59027_c0_g2_i1 sp|P10730|ANPRC_BOVIN
TRINITY_DN59020_c0_g1_i4 sp|Q14AE4|WFDC3_MOUSE
TRINITY_DN59033_c0_g2_i2 sp|Q91VW5|GOGA4_MOUSE
TRINITY_DN59012_c0_g1_i8 sp|P73136|Y1025_SYNY3
TRINITY_DN59037_c0_g1_i1 sp|Q3U1J1|TFPT_MOUSE
TRINITY_DN59014_c11_g1_i8 sp|P20693|FCER2_MOUSE
TRINITY_DN59036_c0_g1_i4 sp|Q4R5L5|ANXA7_MACFA
TRINITY_DN59041_c0_g1_i2 sp|O05389|YRBE_BACSU
TRINITY_DN59042_c0_g1_i1 sp|Q6JAN0|GPR98_DANRE
TRINITY_DN59055_c1_g1_i1 sp|D3YXG0|HMCN1_MOUSE
TRINITY_DN59060_c0_g1_i2 sp|P18503|CAS4_EPHMU
TRINITY_DN59054_c2_g3_i2 sp|P22770|ACHA7_CHICK
TRINITY_DN59054_c2_g1_i2 sp|Q9I8C7|ACH10_CHICK
TRINITY_DN59054_c3_g2_i3 sp|Q52353|TERZ_SERMA
TRINITY_DN59061_c0_g1_i6 sp|P09087|ABDB_DROME
TRINITY_DN59063_c0_g1_i1 sp|Q8AYA4|SLB1_DEIAC
TRINITY_DN59063_c0_g2_i1 sp|A7X406|LECM1_PHIOL
TRINITY_DN59065_c1_g1_i1 sp|Q28CB1|TBD2B_XENTR
TRINITY_DN59066_c0_g1_i1 sp|O97341|CALM_SUBDO
TRINITY_DN59071_c0_g1_i3 sp|Q5E960|S39A3_BOVIN
TRINITY_DN59069_c1_g3_i1 sp|Q8WZ42|TITIN_HUMAN
TRINITY_DN59083_c0_g1_i2 sp|Q8MIF3|TWST1_EULFU
TRINITY_DN59080_c1_g1_i9 sp|Q8VHW4|CCG5_MOUSE
TRINITY_DN59086_c0_g1_i1 sp|A0JPP8|CCD61_RAT
TRINITY_DN59087_c0_g1_i3 sp|P38040|GBG1_DROME
TRINITY_DN59089_c0_g1_i2 sp|Q4ZJM9|C1QL4_MOUSE
TRINITY_DN59089_c0_g2_i2 sp|Q4ZJM9|C1QL4_MOUSE
TRINITY_DN59090_c0_g1_i2 sp|Q26474|LACH_SCHAM
TRINITY_DN59092_c0_g1_i1 sp|Q02361|FD3_DROME
TRINITY_DN59096_c0_g1_i1 sp|P86854|PLCL_MYTGA
TRINITY_DN59096_c0_g2_i5 sp|P86854|PLCL_MYTGA
TRINITY_DN59098_c0_g1_i3 sp|C0HL13|LRP2_PIG
TRINITY_DN59053_c0_g2_i1 sp|Q9VZW5|FMAR_DROME
TRINITY_DN59146_c0_g1_i3 sp|P17971|KCNAL_DROME
TRINITY_DN59104_c0_g1_i3 sp|P46436|GST1_ASCSU
TRINITY_DN59179_c0_g1_i4 sp|P11509|CP2A6_HUMAN
TRINITY_DN59103_c0_g1_i2 sp|A4II20|EGR1_XENTR
TRINITY_DN59107_c0_g3_i1 sp|Q9N294|B3GT5_PANPA
TRINITY_DN59107_c0_g1_i9 sp|Q9MYM7|B3GT1_PONPY
TRINITY_DN59193_c0_g1_i1 sp|Q8I7P9|POL5_DROME
TRINITY_DN59150_c0_g1_i1 sp|P02706|ASGR1_RAT
TRINITY_DN59111_c0_g1_i1 sp|O01393|UNC9_CAEEL
TRINITY_DN59115_c1_g1_i1 sp|P11021|BIP_HUMAN
TRINITY_DN59117_c0_g1_i2 sp|Q3UHK1|MYCT_MOUSE
TRINITY_DN59122_c0_g1_i2 sp|Q91ZT9|ASB8_MOUSE
TRINITY_DN59119_c0_g1_i3 sp|Q9D2L5|CPXM2_MOUSE
TRINITY_DN59127_c0_g1_i3 sp|Q0P5B7|AAAD_BOVIN
TRINITY_DN59130_c0_g1_i1 sp|H2A0M7|PLSP_PINMG
TRINITY_DN59132_c0_g1_i5 sp|B1AR13|CISD3_MOUSE
TRINITY_DN59136_c0_g1_i2 sp|Q9PT61|OTX5B_XENLA
TRINITY_DN59131_c0_g2_i1 sp|Q922Z0|OXDD_MOUSE
TRINITY_DN59139_c0_g1_i2 sp|O97394|SDK_DROME
TRINITY_DN59138_c0_g1_i2 sp|Q8IYB1|M21D2_HUMAN
TRINITY_DN59149_c0_g1_i1 sp|Q8N539|FBCD1_HUMAN
TRINITY_DN59158_c0_g1_i1 sp|Q5R5Y3|B3GT2_PONAB
